USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,NAME_FIELD,PATH,
169771,13-AUG-20 03.20.06.354000000 PM,1107462,scientific notation example.png,http://52.252.6.133/suite/repository/workspace/Users/169771/Assessment Attempt Attachments/21552066/15223/scientific notation example.png,Success
169771,13-AUG-20 03.20.06.354000000 PM,1107460,Steps for big quiz.png,http://52.252.6.133/suite/repository/workspace/Users/169771/Assessment Attempt Attachments/21552066/399255/Steps for big quiz.png,Success
169771,13-AUG-20 03.20.06.354000000 PM,1107465,expression in Y.png,http://52.252.6.133/suite/repository/workspace/Users/169771/Assessment Attempt Attachments/21552066/111761/expression in Y.png,Success
126148,13-AUG-20 03.04.57.539000000 PM,1107461,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21552081/392698/20200812_234450.mp4,Success
126148,13-AUG-20 01.46.52.965000000 PM,1107454,Screenshot_20200813-084839_Samsung Internet.jpg,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21552015/259690/Screenshot_20200813-084839_Samsung Internet.jpg,Success
126148,13-AUG-20 01.46.52.965000000 PM,1107453,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21552015/391744/20200812_234450.mp4,Success
126148,13-AUG-20 01.46.52.965000000 PM,1107457,20200812_234450.mp4,http://52.252.6.133/suite/repository/workspace/Users/126148/Assessment Attempt Attachments/21552015/392630/20200812_234450.mp4,Success
166207,13-AUG-20 12.22.03.889000000 PM,1107448,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21551995/16413/image.jpg,Success
166207,13-AUG-20 12.22.03.889000000 PM,1107452,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21551995/16409/image.jpg,Success
166207,13-AUG-20 12.22.03.889000000 PM,1107449,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21551995/16401/image.jpg,Success
166207,13-AUG-20 12.22.03.889000000 PM,1107446,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21551995/111756/image.jpg,Success
166207,13-AUG-20 12.22.03.889000000 PM,1107445,image.jpg,http://52.252.6.133/suite/repository/workspace/Users/166207/Assessment Attempt Attachments/21551995/160551/image.jpg,Success
