EXTERNAL_URL,Result,Details,UpdatedURL
https://www.khanacademy.org/math/arithmetic/fractions/v/dividing-fractions-word-problem,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/arithmetic/fraction-arithmetic/arith-review-div-fractions-word-problems/v/dividing-fractions-word-problem
https://www.khanacademy.org/math/arithmetic/fractions/v/mixed-numbers-and-improper-fractions,404,"('Not Found', 'Nothing matches the given URI')",
https://www.khanacademy.org/math/arithmetic/fractions/v/multiplying--mixed-numbers,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/arithmetic/fraction-arithmetic/arith-review-mult-mixed-num/v/multiplying-mixed-numbers
https://www.khanacademy.org/math/arithmetic/fractions/v/multiplying-fractions,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/arithmetic/fraction-arithmetic/arith-review-multiply-fractions/v/multiplying-fractions
https://www.khanacademy.org/math/arithmetic/fractions/v/multiplying-fractions-and-mixed-numbers,404,"('Not Found', 'Nothing matches the given URI')",
https://www.khanacademy.org/math/arithmetic/fractions/v/proper-and-improper-fractions,404,"('Not Found', 'Nothing matches the given URI')",
https://www.khanacademy.org/math/arithmetic/multiplication-division/v/level-4-division,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/arithmetic-home/multiply-divide/mult-digit-div-2/v/level-4-division
https://www.khanacademy.org/math/arithmetic/multiplication-division/v/level-4-division,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/arithmetic-home/multiply-divide/mult-digit-div-2/v/level-4-division
https://www.khanacademy.org/math/arithmetic/number-properties/v/inverse-property-of-addition,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/pre-algebra/pre-algebra-arith-prop/pre-algebra-arithmetic-properties/v/inverse-property-of-addition
https://www.khanacademy.org/math/arithmetic/number-properties/v/the-distributive-property,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/pre-algebra/pre-algebra-arith-prop/pre-algebra-ditributive-property/v/the-distributive-property
https://www.khanacademy.org/math/arithmetic/percents/v/describing-the-meaning-of-percent,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/pre-algebra/pre-algebra-ratios-rates/pre-algebra-intro-percents/v/describing-the-meaning-of-percent
https://www.khanacademy.org/math/geometry/angles/v/complementary-and-supplementary-angles,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geo-angle/vert-comp-supp-angles/v/complementary-and-supplementary-angles
https://www.khanacademy.org/math/geometry/angles/v/measuring-angles,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geo-angle/measure-angles/v/measuring-angles
https://www.khanacademy.org/math/geometry/angles/v/proof-vertical-angles-are-equal,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/geometry-home/geometry-angles/geometry-vert-comp-supp/v/proof-vertical-angles-are-equal
https://www.khanacademy.org/math/geometry/basic-geometry/v/area-of-a-circle,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter/area-circumference-circle/v/area-of-a-circle
https://www.khanacademy.org/math/geometry/basic-geometry/v/area-of-a-circle ,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geo-area-and-perimeter/area-circumference-circle/v/area-of-a-circle
https://www.khanacademy.org/math/geometry/polygons-quads-parallelograms/v/area-of-a-parallelogram,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/in-in-grade-9-ncert/xfd53e0255cd302f8:areas-of-parallelograms-and-triangles/xfd53e0255cd302f8:area-of-a-parallelogram/v/area-of-a-parallelogram
https://www.khanacademy.org/math/geometry/polygons-quads-parallelograms/v/quadrilateral-overview,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geometry-shapes/basic-geo-quadrilaterals/v/quadrilateral-overview
https://www.khanacademy.org/math/geometry/polygons-quads-parallelograms/v/sum-of-interior-angles-of-a-polygon,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-polygons/v/sum-of-interior-angles-of-a-polygon
https://www.khanacademy.org/math/geometry/polygons-quads-parallelograms/v/sum-of-the-exterior-angles-of-convex-polygon,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/geometry/hs-geo-foundations/hs-geo-polygons/v/sum-of-the-exterior-angles-of-convex-polygon
https://www.khanacademy.org/math/geometry/triangles/v/finding-congruent-triangles,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/geometry/hs-geo-congruence/hs-geo-triangle-congruence/v/finding-congruent-triangles
https://www.khanacademy.org/math/geometry/triangles/v/the-pythagorean-theorem,Redirected,URL should be updated to match Redirected URL,https://www.khanacademy.org/math/basic-geo/basic-geometry-pythagorean-theorem/geo-pythagorean-theorem/v/the-pythagorean-theorem
