EXTERNALLINK_PK,EXTERNAL_URL,NAME_FIELD,Result,Details,UpdatedURL
169480,http://www.studenthandouts.com/Games-02/FC-The-Scientific-Revolution.html,Do More,Success,,https://www.studenthandouts.com/Games-02/FC-The-Scientific-Revolution.html
226250,http://www.studybass.com/lessons/reading-music/time-signatures/,See More,Success,,https://www.studybass.com/lessons/reading-music/time-signatures/
225282,http://www.studystack.com/flashcard-110898,Do More,Success,,https://www.studystack.com/flashcard-110898
198040,http://www.studystack.com/flashcard-969489,Do More,Success,,https://www.studystack.com/flashcard-969489
206534,http://www.studystack.com/matching-14392,Do More,Success,,https://www.studystack.com/matching-14392
166070,http://www.studystack.com/matching-182854,Do More,Success,,https://www.studystack.com/matching-182854
135448,http://www.sumanasinc.com/webcontent/animations/content/pcr.html,Instructional Video,Failed - https,Failed with https; Successful as http,
230827,http://www.swim-teach.com/swimming-videos.html,Instructional Video,Success,,https://www.swim-teach.com/swimming-videos.html
224062,http://www.swingmusic.net/Big_Band_Playlist.html,Instructional Video,Failed - https,Failed with https; Successful as http,
227504,http://www.swingmusic.net/Big_Band_Playlist.html,See More,Failed - https,Failed with https; Successful as http,
231727,http://www.taj-mahal.net/newtaj/,Do More,Success,,https://www.taj-mahal.net/newtaj/
144201,http://www.tasteofcinema.com/2014/30-essential-latin-american-films-you-need-to-watch/,Instructional Video,Success,,https://www.tasteofcinema.com/2014/30-essential-latin-american-films-you-need-to-watch/
231715,http://www.tate.org.uk/context-comment/video/pablo-picassos-three-dancers-tateshots,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.tate.org.uk/art/artists/pablo-picasso-1767/pablo-picassos-three-dancers
228088,http://www.teach-nology.com/worksheets/critical_thinking/dictionary/ver1/,Do More,Success,,https://www.teach-nology.com/worksheets/critical_thinking/dictionary/ver1/
232106,http://www.teacherschoice.com.au/Maths_Library/Area%20and%20SA/area_9.htm,Hear More,Redirected,URL should be updated to match Redirected URL,https://teacherschoice.com.au/
207552,http://www.teachersdomain.org/asset/rr10_vid_litelem/,Hear More,Redirected,URL should be updated to match Redirected URL,https://wqed.pbslearningmedia.org/asset/rr10_vid_litelem/
209900,http://www.teachertube.com/music.php?music_id=3183,Hear More,404,"('Not Found', 'Nothing matches the given URI')",
229827,http://www.teachertube.com/video/141-131-polya039s-4-step-method-m2u00346-116344?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/141-131-polya039s-4-step-method-m2u00346-116344?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
229829,http://www.teachertube.com/video/141-131-polya039s-4-step-method-m2u00346-116344?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/141-131-polya039s-4-step-method-m2u00346-116344?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
229830,http://www.teachertube.com/video/141-131-polya039s-4-step-method-m2u00346-116344?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/141-131-polya039s-4-step-method-m2u00346-116344?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
85528,http://www.teachertube.com/video/amazon-rainforest-deforestation-226836?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/amazon-rainforest-deforestation-226836?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
84033,http://www.teachertube.com/video/amphibian-vs-reptile-96909?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/amphibian-vs-reptile-96909?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
224688,http://www.teachertube.com/video/argument-17085,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/argument-17085
225701,http://www.teachertube.com/video/bald-worm-on-suspense-90262,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/bald-worm-on-suspense-90262
231824,http://www.teachertube.com/video/basics-of-writing-a-research-paper-144004,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/basics-of-writing-a-research-paper-144004
213195,http://www.teachertube.com/video/body-cavities-and-membranes-430426?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/body-cavities-and-membranes-430426?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
231432,http://www.teachertube.com/video/brown-v-board-of-ed-94807?utm_source=google&utm_medium=video&utm_campaign=preroll&utm_term=search&utm_content=video-ads,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/brown-v-board-of-ed-94807?utm_source=google&utm_medium=video&utm_campaign=preroll&utm_term=search&utm_content=video-ads
231029,http://www.teachertube.com/video/carrying-capacity-and-limiting-factors-defined-435459,Need 2 Know,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/carrying-capacity-and-limiting-factors-defined-435459
86877,http://www.teachertube.com/video/cellular-organelles-255390?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page,Instructional Video,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/cellular-organelles-255390?utm_source=video-google&utm_medium=video-view&utm_term=video&utm_content=video-page&utm_campaign=video-view-page
225290,http://www.teachertube.com/video/characterization-358152,See More,Redirected,URL should be updated to match Redirected URL,https://www.teachertube.com/videos/characterization-358152
